,ID,Empathy Score,Empathy Score Shifted,Empathy Score Binary,Text,ColumnID,answer changed?,Email1 CE no,Email1 CE yes,Email1 AE no,Email1 AE yes,Email1 CE+AE no,Email1 CE+AE yes,Email2 CE no,Email2 CE yes,Email2 AE no,Email2 AE yes,Email2 CE+AE no,Email2 CE+AE yes
0,1,-2,1,0,Alles was sie von sich gegeben haben entschuldigt nicht im geringsten ihr eigenmächtiges falsches handeln .  wenn man  es nicht weiß dann fasst man diese art von Aufgabe nicht an.  Abmahnung,email1,0.0,2.0,0.0,0.0,0.0,2,0,2.0,0.0,0.0,0.0,2,0
1,2,-1,2,0,"Bitte werden Sie in Ihrer Arbeitsweise konzentrierter, sonst bekommen sie bald die erste Abmahnung.",email1,1.0,0.0,0.0,1.0,0.0,1,0,0.0,1.0,1.0,0.0,1,1
2,3,-2,1,0,"Hallo Herr Thiele,  wir werden durch ihre Arbeit einen seit Jahren bestehenden Großkunden wahrscheinlich verlieren. Ihre nachlässige Arbeit ist nicht entschuldbar. Die Aussage, ich wäre nicht erreichbar gewesen entbehrt jedweder Grundlage. Zwar hielt ich mich in Konferenzen und Meetings auf, bin jedoch zu jeder Zeit und unter allen Umständen erreichbar. Ich habe eine erfahrende Office - Managerin, die ihnen hätte weiterhelfen können und das uneingeschränkt. Es ist schade, dass sie sich nicht mit unseren innerbetrieblichen Vorschriften auskennen. Ich werde alles daran setzen, zu verhindern, dass unser Großkunde unsere Firma verlässt, zu der sie wohl nicht mehr gehören werden.",email1,1.0,2.0,1.0,1.0,0.0,3,1,3.0,0.0,0.0,1.0,3,1
3,4,-1,2,0,"Sehr geehrter Herr Thiele,  da Sie eigenmächtig gegen die gemachten Absprachen verstoßen haben und damit unserem Unternehmen ein erheblicher Schaden entstanden ist, werde ich der Personalabteilung eine Anweisung geben, Ihnen eine Abmahnung zu erteilen! Ich hoffe das das Ihnen eine Lehre sein wird und das Sie bei weiteren ähnlichen Entscheidungen dann richtig handeln werden!",email1,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,1.0,0.0,1,0
4,5,-1,2,0,"Herr Thiele, ich kann Ihr Verhalten nicht tolerieren. Kundenzufriedenheit steht an oberster Stelle und hat genau durch sein Verhalten zum jetzigen Status geführt. Es muss unbedingt ein OK von mir eingeholt werden, das gerne per email wenn ich in Sitzungen gebunden bin. Ich habe immer Zeit für das Lesen meiner emails in Pausen. bitte überlegen Sie sich wie sie dem Kunden gegenüber Ihr Verhalten erklären. danke.",email1,1.0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1.0,0.0,2,0
5,7,2,5,1,"Sehr geehrte Herr Thiele,  wie Sie bereits wissen ist es Ihnen untersagt selbständig Aufträge ohne meine Zustimmung zu bearbeiten bzw. abzuschließen.  Selbst wenn der Kunde etwas ungeduldig ist, muss er so lange warten.   Sie hätten lediglich etwas vorbereiten können, aber ohne Abschluß und ohne meine Unterschrift ist die nicht möglich!  Sollte dies noch einmal der Fall sein, werden ich leider eine Kündigung aussprechen müssen.    Mit freundlichen Grüßen",email1,1.0,0.0,1.0,0.0,1.0,0,2,0.0,2.0,0.0,2.0,0,4
6,8,-1,2,0,"Sehr geehrter Herr Thiele,    leider erreichte mich soeben die Info, dass sie gestern einen Großkunden ohne meine Zustimmung beliefert haben.  Der Kunde hat die falsche Ware erhalten und mietet seine PCs nun bei der Konkurrenz. Darüber hinaus fordert er eine finanzielle Entschädigung.    Ich erwarte Ihre Stellungnahme bis heute 16 Uhr auf meinem Tisch.",email1,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,1.0,0.0,1,0
7,9,-3,0,0,"Ich bin sehr ungehalten über ihr eigenmächtiges Vorgehen. Sie hätten sich abstimmen müssen und trotz allem irgendeine Möglichkeit dazu finden. Nun haben wir durch ihr unkorrektes Verhalten einen Großkunden verloren, Aus diesem Grund muss ich Sie leider abmahnen.",email1,1.0,2.0,0.0,1.0,0.0,3,0,1.0,1.0,1.0,1.0,2,2
8,11,1,4,0,"Hallo Herr Thiele,  Ich kann verstehen, dass sie nur im Interesse der Firma gehandelt haben, dennoch hat es einen Grund, weshalb alle Großkunden von mir betreut werden. Auch wenn ich in Terminen gesteckt habe, hätte es mich gefreut, wenn man mich per Email über die Anfrage informiert hätte. Ich hätte so besser handeln und im Notfall den Auftrag delegieren können. Mich nicht einzubeziehen war falsch und ich bitte dies in Zukunft zu unterlassen.",email1,1.0,0.0,1.0,0.0,0.0,0,1,0.0,1.0,0.0,2.0,0,3
9,12,3,6,1,"Hallo Herr Thiele,   ich weiß, dass Sie in guter Absicht gehandelt haben, aber leider hat Ihr Einsatz in diesem Fall dazu geführt, dass die Kundin verärgert war und nach jetzigem Kenntnisstand nicht mehr gewillt ist, mit uns zusammenzuarbeiten. Wie Ihnen sicherlich bekannt sein dürfte, haben wir in der Vergangenheit bereits mehrfach wichtige Kunden verloren und daher wird das Management unseres Unternehmens wenig begeistert darüber sein, dass wir jetzt schon wieder eine wichtige Kundin verloren haben. Mir ist bewusst, dass die Situation für Sie nicht leicht war und daher müssen wir dringend besprechen, wie wir in solchen künftigen Situationen künftig als Team besser agieren/kommunizieren, denn weitere Vorfälle dieser Art können wir uns als Team und auch als individuelle Mitarbeiter nicht mehr leisten.  Viele Grüße  TS",email1,1.0,0.0,2.0,0.0,1.0,0,3,0.0,4.0,0.0,2.0,0,6
10,13,-1,2,0,Ich erwarte das Sie selbstständig und im Interesse der Kunden handeln. Dies ist nicht zufriedenstellend und wird nicht nochmal passieren,email1,1.0,1.0,0.0,0.0,0.0,1,0,2.0,0.0,0.0,1.0,2,1
11,14,2,5,1,"Sehr geehrter Herr Thiele  Ihre eigenständige Arbeitsweise weiß ich grundsätzlich sehr zu schätzen. Für Großkunden und  heiße Aufträge  gibt es in der Abteilung klar geregelte Prozesse dahingehend, dass diese Aufträge ausschließlich über meinen Schreibtisch zu laufen haben. In der Abteilung gibt es ebenso eine klare Vertreterregelung, falls ich nicht sprechbar sein sollte. Wir haben einen sehr verärgerten Großkunden auf Grund der Geschehnisse, der finanziell entschädigt werden will und zukünftig nciht mehr Kunde sein wird. So viel hier. Um zukünftig solche Situationen zu vermeiden, stelle ich Ihnen einen persönlichen Besprechungstermin in den KAlender. VIele GRüße",email1,0.0,0.0,0.0,0.0,2.0,0,2,0.0,0.0,0.0,1.0,0,1
